LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
خساپا,13931227,20150318,957,17607540,25258035832,1435,1435,1401,1435,1420,1380
خساپا,13931226,20150317,647,6922521,9553435444,1380,1390,1367,1412,1412,1422
خساپا,13931225,20150316,1582,25375982,36074327072,1422,1400,1385,1438,1438,1384
خساپا,13931224,20150315,252,5569878,7769979810,1384,1395,1395,1395,1395,1342
خساپا,13931223,20150314,706,5872126,7922142160,1342,1356,1301,1356,1301,1304
خساپا,13931219,20150310,383,4252431,5494127448,1304,1287,1280,1325,1325,1324
خساپا,13931218,20150309,510,13090509,17335739867,1324,1306,1301,1333,1333,1316
خساپا,13931217,20150308,713,7019091,9233753539,1316,1340,1281,1343,1281,1316
خساپا,13931216,20150307,686,9269633,12199184381,1316,1288,1286,1365,1365,1335
خساپا,13931213,20150304,776,9181103,12258007813,1335,1347,1301,1349,1301,1311
خساپا,13931212,20150303,743,27158115,35601313861,1311,1324,1281,1340,1302,1304
خساپا,13931211,20150302,729,8436650,11000136024,1304,1300,1290,1315,1290,1265
خساپا,13931210,20150301,612,8486323,10732101175,1265,1287,1220,1287,1220,1238
خساپا,13931209,20150228,409,3365253,4144787753,1238,1221,1215,1264,1250,1244
خساپا,13931206,20150225,624,8515365,10592784885,1244,1243,1229,1277,1277,1277
خساپا,13931205,20150224,571,6083221,7763129598,1277,1260,1250,1319,1299,1279
خساپا,13931204,20150223,685,7487904,9575035614,1279,1296,1242,1319,1255,1289
خساپا,13931203,20150222,860,9670774,12468227231,1289,1286,1286,1306,1294,1339
خساپا,13931202,20150221,557,6705150,8979195704,1339,1320,1313,1351,1351,1352
خساپا,13931129,20150218,976,11062424,14952254103,1352,1336,1336,1380,1380,1391
خساپا,13931128,20150217,1973,32697184,45484207030,1391,1370,1360,1398,1385,1345
خساپا,13931127,20150216,1205,48401303,65115059431,1345,1348,1300,1348,1300,1297
خساپا,13931126,20150215,535,6792785,8811579852,1297,1311,1262,1313,1262,1295
خساپا,13931125,20150214,493,4688914,6080345253,1295,1262,1262,1325,1278,1276
خساپا,13931121,20150210,654,8074860,10307131852,1276,1274,1252,1290,1252,1278
خساپا,13931120,20150209,856,14151847,18080858972,1278,1244,1240,1299,1290,1290
خساپا,13931119,20150208,1750,12027297,15512824127,1290,1280,1274,1352,1350,1327
خساپا,13931118,20150207,0,0,0,1327,1320,0,0,0,1327
خساپا,13931115,20150204,0,0,0,1327,1320,0,0,0,1327
خساپا,13931114,20150203,1310,15381260,20418097996,1327,1320,1301,1350,1320,1320
خساپا,13931113,20150202,2111,15309448,20207700002,1320,1310,1290,1340,1295,1295
خساپا,13931112,20150201,1170,15146834,19612717491,1295,1280,1278,1310,1310,1276
خساپا,13931111,20150131,259,5225898,6668245848,1276,1276,1276,1276,1276,1227
خساپا,13931108,20150128,1859,13760470,16879918919,1227,1232,1187,1232,1200,1185
خساپا,13931107,20150127,314,2695524,3214303961,1185,1185,1177,1210,1177,1177
خساپا,13931106,20150126,657,6856067,8068429073,1177,1180,1143,1202,1182,1178
خساپا,13931105,20150125,577,8787494,10350436895,1178,1178,1145,1180,1145,1135
خساپا,13931104,20150124,592,7528987,8544963823,1135,1151,1100,1161,1134,1133
خساپا,13931101,20150121,1133,12645851,14324210981,1133,1133,1131,1157,1156,1178
خساپا,13931030,20150120,566,3940838,4623850637,1178,1163,1160,1225,1205,1191
خساپا,13931029,20150119,423,4018411,4757740563,1191,1185,1175,1200,1180,1214
خساپا,13931028,20150118,554,5641762,6848073697,1214,1209,1209,1260,1250,1259
